title,company,location,salary,posted,url,specialization,source,tags
Systems Analyst-EDI Management - SHP Finance - Telecommuter - Day Shift - Full Time,Hiredock,Remote IN,,2026-03-18,https://hiredock.kesug.com/job/systems-analyst-edi-management-shp-finance-telecommuter-day-shift-full-time?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Healthcare EDI,Hiredock,
SAP SD – EDI Integration Specialist,Tangentia,Remote IN,,2026-03-19,https://in.indeed.com/viewjob?jk=a6cad09ec3d26984&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,SAP EDI,Indeed,
[Remote] Senior Healthcare EDI X12 Business Systems Analyst/Healthcare EDI X12 PM,Flexionis,Remote ZA,,2026-03-18,https://flexionis.wuaze.com/job/remote-senior-healthcare-edi-x12-business-systems-analyst-healthcare-edi-x12-pm?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Healthcare EDI,Flexionis,
Claims EDI Operations Specialist,Flexionis,Remote NL,,2026-03-18,https://flexionis.wuaze.com/job/claims-edi-operations-specialist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Healthcare EDI,Flexionis,
Senior Business Analyst (Healthcare Claims – EDI) | Freelance / Contract Role,Intuvia Technologies,Remote IN,,2026-03-02,https://in.linkedin.com/jobs/view/senior-business-analyst-healthcare-claims-%E2%80%93-edi-freelance-contract-role-at-intuvia-technologies-4372071277?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Healthcare EDI,LinkedIn,
Seeburger EDI / MFT BISLink Specialist in India,Upwork,Remote USA,,2026-02-19,https://www.upwork.com/freelance-jobs/apply/Seeburger-EDI-MFT-BISLink-Specialist-India_~022024487699119179482/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,SAP EDI,Upwork,
EDI Developer-Remote,"Georgia IT, Inc.",Remote,,2026-03-01,https://jobgether.com/offer/69a4073d7f0cfae7f1233ac3-edi-developer-remote?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Logistics & Retail,Jobgether,
EDI Developer,Q2 HR Solutions,Remote PH,,2026-03-04,https://jobgether.com/offer/69a809fe7f0cfae7f12910b9-edi-developer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,EDI Developer,Jobgether,
Electronic Data Interchange Developer,Q2 HR Solutions,Remote PH,,2026-03-04,https://ph.linkedin.com/jobs/view/electronic-data-interchange-developer-at-q2-hr-solutions-4380789150?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,EDI Developer,LinkedIn,
SAP OTC & EDI Analyst — Remote‑Flexible,Whirlpool Corporation,Remote CA,,2026-03-19,https://www.recruit.net/job/sap-otc-edi-analyst-remoteflexible-jobs/35F703F428BA7236?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,SAP EDI,Recruit.net,
Senior EDIFECS Developer,Hiredock,Remote ES,,2026-03-14,https://hiredock.kesug.com/job/senior-edifecs-developer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Healthcare EDI,Hiredock,
